trial_number,combined_score,final_similarity,univariate_similarity,bivariate_similarity,acc_tstr,acc_tsts,acc_trtr,acc_trts,avg_accuracy,lr_d,lr_g,hidden_feature_space,batch_size,nr_of_rows,binary_noise,epochs,trial_state,trial_duration
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006978281265126,1.5030900645056805e-05,150,256,20,0.1842803529062142,2000,1,0.030527
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.913588048769229e-05,0.000402155452669,100,32,25,0.3187021504122962,2500,1,81.07249
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4063366777718176e-05,5.211124595788268e-05,100,32,15,0.3188818535014193,2500,1,0.029815
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005948746813219,8.798929749689021e-05,100,128,20,0.2282623055075649,1000,1,27.847185
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6435497475111308e-05,1.1557352816269869e-05,300,100,25,0.1686394496474867,1000,1,38.025381
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6115164153345e-05,0.0007969454818643,350,256,20,0.3124217733388137,1000,1,0.03841
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008706020878304,0.000462258900102,150,128,15,0.2835558684167139,1000,1,29.330687
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8396292998041685e-05,5.4041038546473305e-05,250,32,20,0.1511572371061874,1000,1,0.027517
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007902619549708,0.0008536189862866,350,100,20,0.1103165563345655,3000,1,0.035507
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6115164153345e-05,0.0007969454818643,350,256,25,0.2803345035229627,2500,1,194.925516
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0994335574766188e-05,0.0008706020878304,350,256,25,0.2295835055926347,1500,1,61.604742
0,0.774126326297358,0.78338793174316,0.774334175261758,0.8045133635330981,0.6023391812865497,0.8888888888888888,0.8713450292397661,0.6783625730994152,0.760233918128655,5.6115164153345e-05,0.0007969454818643,350,256,25,0.2803345035229627,2500,1,207.86655
1,0.7937908368315927,0.8073901861423232,0.8075673517101922,0.8069767998172954,0.5964912280701754,0.95906432748538,0.8713450292397661,0.6666666666666666,0.773391812865497,1.0994335574766188e-05,0.0008706020878304,350,256,25,0.2295835055926347,1500,1,75.958906
2,0.5599656343663535,0.560956369168094,0.4863281607154842,0.7350888555575169,0.2807017543859649,0.8187134502923976,0.8713450292397661,0.2631578947368421,0.5584795321637427,0.0001673808578875,1.9010245319870364e-05,200,100,25,0.2777243706586128,1000,1,39.462021
3,0.6283036843374544,0.6251455167807477,0.5716380077371043,0.7499963712159159,0.3391812865497076,0.8187134502923976,0.8713450292397661,0.5029239766081871,0.6330409356725146,0.0001640928673064,2.193048555664368e-05,100,64,25,0.3052699079536471,2000,1,71.195434
4,0.8025652200819359,0.7956983687525442,0.8323356626671314,0.7102113496185074,0.7017543859649122,0.912280701754386,0.8713450292397661,0.7660818713450293,0.8128654970760234,1.7541893487450798e-05,9.7803370166594e-05,100,32,25,0.2640130838029839,1000,1,35.814668
5,0.8814681667869706,0.8930902194987522,0.9433752274468804,0.7757585342864537,0.8538011695906432,0.8596491228070176,0.8713450292397661,0.8713450292397661,0.8640350877192982,0.0008692991511139,0.0003550304858128,400,100,25,0.1135681866731614,1500,1,74.110185
6,0.6720529519788552,0.700984939457936,0.6745171535213148,0.7627431066433857,0.5906432748538012,0.6023391812865497,0.8713450292397661,0.4502923976608187,0.6286549707602339,5.989003672254293e-05,3.488976654890367e-05,350,256,25,0.1223651931039312,3000,1,154.367995
7,0.603986796780962,0.5894906652002389,0.5642900433562388,0.6482921161695725,0.391812865497076,0.7777777777777778,0.8713450292397661,0.4619883040935672,0.6257309941520467,0.0003503398491158,2.497073714505272e-05,100,32,25,0.2075397185632818,1000,1,41.374143
8,0.870467173263465,0.8776792069010967,0.8948912457959587,0.8375177828130853,0.7894736842105263,0.9005847953216374,0.8713450292397661,0.8771929824561403,0.8596491228070176,0.0005323617594751,0.0001764396768338,200,128,25,0.366163822772898,2000,1,88.568648
